country,results.year,results.pages.page0.raceDateTitle,results.pages.page0.tables.tableTitle,results.pages.page0.tables.tableRows.poř.,results.pages.page0.tables.tableRows.jméno koně,results.pages.page0.tables.tableRows.váha,results.pages.page0.tables.tableRows.jezdec,results.pages.page0.tables.tableRows.výrok,results.pages.page0.tables.tableRows.čas,results.pages.page0.tables.tableRows.st.č.,results.pages.page0.tables.tableRows.trenér,results.pages.page0.tables.tableRows.evq,results.pages.page1.raceDateTitle,results.pages.page1.tables.tableTitle,results.pages.page1.tables.tableRows.poř.,results.pages.page1.tables.tableRows.jméno koně,results.pages.page1.tables.tableRows.váha,results.pages.page1.tables.tableRows.jezdec,results.pages.page1.tables.tableRows.výrok,results.pages.page1.tables.tableRows.čas,results.pages.page1.tables.tableRows.st.č.,results.pages.page1.tables.tableRows.trenér,results.pages.page1.tables.tableRows.evq
Slovensko,2024,Výsledky ze dne 20.04.2024 - Bratislava (Slovensko),"7009 Cena Termaca
Rovina V.kat. - 1700 m, cena, 3letí
1.800 EUR (810 - 400 - 250 - 160 - 105 - 75)
Zápisné: 0 + 0 EUR",1.,"LUMINAR(GER), 3 kl","55,0",žk. Tomáš Roman,LEHCE,,3,Štangel Marián,34,,,,,,,,,,,
,,,,2.,"WALDFÜRST(GER), 3 hř","59,0",ž. Monir Madihi,3,,4,Štangel Marián,222,,,,,,,,,,,
,,,,3.,"KABIUK(GB), 3 hř","57,5",Petra Zedková,krk,,7,Štangel Marián,49,,,,,,,,,,,
,,,,4.,"GLADIATOR ROCK(IRE), 3 val","57,0",ž. Adam Florian,1 1/2,,1,Chodúr Jozef,55,,,,,,,,,,,
,,,,5.,"SAVANELLA(HUN), 3 kl","55,5",ž. Peter Hodáň,nos,,8,Kubovičová Zuzana,46,,,,,,,,,,,
,,,,6.,"MITUS(IRE), 3 hř","59,0",ž. Jiří Palík,1/2,,5,Štangel Marián,63,,,,,,,,,,,
,,,,7.,"JELLYLORUM(FR), 3 kl","55,5",Ferdinand Kráner,8,,6,Ročák Michal,222,,,,,,,,,,,
,,,"7010 Cena Dark Marbla
Rovina IV.kat. - 1200 m, cena, 3letí a starší
2.300 EUR (1035 - 505 - 320 - 210 - 140 - 90)
Zápisné: 0 + 0 EUR",8.,"LUCAS(SVK), 3 hř","57,0",ž. Ján Havlík,8,,2,Línek Jaroslav,34,,,,,,,,,,,
,,,,1.,"TERMINI(IRE), 3 hř","54,0",Petra Zedková,JISTĚ,,6,Štangel Marián,79,,,,,,,,,,,
,,,,2.,"MOLLYS BEST(FR), 10 val","61,5",ž. David Liška,1 3/4,,2,Berthier Kateřina,637,,,,,,,,,,,
,,,,3.,"MANAVI(FR), 5 val","61,0",ž. Jakub Pavlíček,hlava,,9,Blecha Jan,68,,,,,,,,,,,
,,,,4.,"VAN DAMME(SVK), 14 val","63,5",ž. Jaroslav Línek,1 1/4,,11,Mihalík Marcel,57,,,,,,,,,,,
,,,,5.,"HOLY WAY(GER), 3 val","56,0",ž. Monir Madihi,krk,,10,Hanáček Jaroslav,53,,,,,,,,,,,
,,,,6.,"LADY FREE(IRE), 5 kl","59,5",ž. Stanislav Georgjev,1,,5,Stummer Johann,127,,,,,,,,,,,
,,,,7.,"DALIDA, 5 kl","56,5",Sofie Kvízová,1 1/4,,7,Holčák Radek,159,,,,,,,,,,,
,,,,8.,"YASMINIA(IRE), 6 kl","60,0",žk. Tomáš Roman,3 1/4,,4,Štangel Marián,40,,,,,,,,,,,
,,,,9.,"NOWAN, 9 val","60,5",ž. Peter Hodáň,3 1/2,,12,Hanáček Pavel,1911,,,,,,,,,,,
