country,results.year,results.pages.page0.raceDateTitle,results.pages.page0.tables.tableTitle,results.pages.page0.tables.tableRows.poř.,results.pages.page0.tables.tableRows.jméno koně,results.pages.page0.tables.tableRows.váha,results.pages.page0.tables.tableRows.jezdec,results.pages.page0.tables.tableRows.výrok,results.pages.page0.tables.tableRows.čas,results.pages.page0.tables.tableRows.st.č.,results.pages.page0.tables.tableRows.trenér,results.pages.page0.tables.tableRows.evq,results.pages.page0.tables.tableRows.Předseda DK:,results.pages.page0.tables.tableRows.Horák František, MVDr.,results.pages.page0.tables.tableRows.Holík Jiří, Ing.,results.pages.page0.tables.tableRows.Vaňourek Jan, Ing.
CR,2024,Výsledky ze dne 21.04.2024 - Praha,"1. dostih, start 14:09
1031 CENA SPOLEČNOSTI TIPSPORT
Rovina IV.kat. - 1600 m, handicap, 4letí a starší
50.000 Kč (25000 - 11500 - 7500 - 3500 - 2500)
Zápisné: 625 + 1375 Kč
Stav dráhy: 3.1 (dobrá až pevná)",1.,"JACK TCHEQUE, 4 val","56,0",ž. Petr Foret,JISTĚ,"01:39,06",15,Myšková Štěpánka,90,,,,
,,,,2.,"RUMĚLKA, 5 kl","52,5",ž. Martina Havelková,2,"01:39,37",12,Berthier Kateřina,150,,,,
,,,,3.,"YARMILA, 4 kl","58,0",Petra Zedková,3 1/4,"01:39,99",7,Váňa Tomáš,60,,,,
,,,,4.,"AIDENSFIELD(GER), 6 val j","60,5",am. Matyáš Luka,2 1/4,"01:40,38",9,Kalčík Michal,90,,,,
,,,,5.,"RABBIT ROCK(IRE), 4 val","60,0",ž. Michal Demo,1/2,"01:40,48",6,Petrlík Allan,105,,,,
,,,,6.,"FANNY(FR), 4 kl","56,0",Taťána Mášová,kr.hlava,"01:40,49",14,Andrés Dušan,180,,,,
,,,,7.,"SUNCHYME(GER), 7 val","63,0",žk. Eliška Janderová,krk,"01:40,53",10,Kalčík Michal,220,,,,
,,,,8.,"HADAR(IRE), 5 val b","57,5",žk. Tomáš Roman,hlava,"01:40,56",2,Bartoš st. Josef,105,,,,
,,,,9.,"PERSEA, 6 kl","58,0",ž. David Liška,1,"01:40,72",1,Fedorowicz Vladislav,105,,,,
,,,,10.,"VLÁRA, 4 kl","57,0",ž. Jiřina Andrésová,1/2,"01:40,80",11,Andrés Dušan,105,,,,
,,,,11.,"FRAM, 8 val j","56,5",ž. Vendula Korečková,krk,"01:40,84",4,Kalčík Michal,180,,,,
,,,,12.,"SHEIK, 6 val","51,0",žk. Natálie Flenerová,1,"01:41,00",5,Mourek František,135,,,,
,,,,13.,"KERRSY(FR), 4 kl","59,5","Eva Buriánková, Mgr.",hlava,"01:41,02",8,Chaloupka Jiří,105,,,,
,,,,14.,"AIRUSCHKA, 9 kl","52,5",Lucie Fialová,4 1/4,"01:41,72",16,Hála Libor,105,,,,
,,,"2. dostih, start 14:41
1032 CENA TELEVIZE A 11
Rovina III.kat. - 1600 m, cena, 3letí
70.000 Kč (35000 - 16100 - 10500 - 4900 - 3500)
Zápisné: 875 + 1925 Kč
Stav dráhy: 3.1 (dobrá až pevná)",15.,"N`OUBLIE PAS, 4 kl b","55,5",žk. Anna Lebdušková,3 1/4,"01:42,33",3,Berthier Kateřina,80,,,,
,,,,1.,"HOLLY PHELIE(FR), 3 kl","56,5",ž. Petr Foret,BOJ,"01:40,27",8,Török Dalibor,27,,,,
,,,,2.,"POWER OF UNIVERSE(IRE), 3 kl j","55,5",ž. Martina Havelková,hlava,"01:40,30",14,Janáčková Koplíková Ingrid,100,,,,
