country,results.year,results.pages.page0.raceDateTitle,results.pages.page0.tables.tableTitle,results.pages.page0.tables.tableRows.poř.,results.pages.page0.tables.tableRows.jméno koně,results.pages.page0.tables.tableRows.váha,results.pages.page0.tables.tableRows.jezdec,results.pages.page0.tables.tableRows.výrok,results.pages.page0.tables.tableRows.čas,results.pages.page0.tables.tableRows.st.č.,results.pages.page0.tables.tableRows.trenér,results.pages.page0.tables.tableRows.evq
abroad,2024,Výsledky ze dne 24.04.2024 - Marseille-Borely (Francie),"2199 PRIX DE BANDOL
Rovina c3 - 1200 m, handicap, 4letí a starší
20.000 EUR (10000 - 4000 - 3000 - 2000 - 1000)
Zápisné: 0 + 0 EUR",1.,"COUR DU ROI(GB), 5","56,0",ž. Aurelien Lemaitre,JISTĚ,,11,,
,,,,2.,"MAMAMOUCHI(FR), 4 kl","58,5",Antonio Orani,krk,,6,,
,,,,3.,"CALIFANO(FR), 5 val","58,0",Manon German,1,,3,,
,,,,4.,"MONSIEURVALCHOP(FR), 5 val","59,0",ž. Cristian Demuro,nos,,5,,
,2023,Výsledky ze dne 30.12.2023 - Dortmund (Německo),"2822 Preis der Hindernis-Champions Trainer/Besitzer 2023
Rovina F - 2500 m, handicap, 3letí a starší
5.000 EUR (2500 - 1000 - 750 - 500 - 250)
Zápisné: 0 + 0 EUR",5.,"LE ROZEL(FR), 4 val","54,0",žk. Tomáš Roman,krk,,14,Myšková Štěpánka,
,,,,1.,"SCHAEL(FR), 4","57,0",Schuichi Terachi,V. LEHCE,,3,,
,,,,2.,"NORTH FIRE(GER), 4","57,5",Thore Hammer-Hansen,10,,6,,
,,,,3.,"SUNNY STAR(FR), 5 kl","61,0",Maike Riehl,4,,1,,
,,,,4.,"ALL TALK N NO DO(IRE), 12","58,5",Lili-Marie Engels,6,,5,,
,,,,5.,"STRAHLEMANN(GER), 4","54,0",Michael Cadeddu,6,,7,,
,,,"2823 Preis der 4er - Wette - Preis des Jockey-Champions 2023
Rovina F - 1800 m, handicap, 3letí a starší
5.150 EUR (2500 - 1000 - 750 - 500 - 250 - 150)
Zápisné: 0 + 0 EUR",6.,"LADY RECORDER(FR), 3 kl","59,5",ž. Leon Wolff,daleko,,4,Nieslanik Miroslav,
,,,,1.,"EL ROYALE(GB), 4","61,0",Maike Riehl,LEHCE,,6,,
,,,,2.,"SOMMERBERGER(GER), 3","58,0",Thore Hammer-Hansen,6,,9,,
,,,,3.,"BLACK DARK(IRE), 3 val","65,0",ž. Leon Wolff,1 3/4,,3,Nieslanik Miroslav,
,,,,4.,"MANHATTAN QUEEN(GER), 4","53,0",ž. Anna Van den Troost,4,,13,,
,,,,5.,"ITORA(GER), 3","57,5",am. Antonia von der Recke,1 3/4,,7,,
,,,"2824 Preis der Besitzertrainer und -trainerinnen 2023
Rovina D - 1950 m, handicap, 3letí a starší
6.500 EUR (3150 - 1260 - 945 - 630 - 315 - 200)
Zápisné: 0 + 0 EUR",6.,"ALL MY LOVING(GER), 3","52,5",Elisabeth Stahlhut,krk,,10,,
,,,,1.,"DIRECT HIT(IRE), 3","54,0",Michael Cadeddu,BOJ,,5,,
,,,,2.,"ARADOUS(IRE), 5 val","61,5",Senan Macredmond,krk,,1,,
,,,,3.,"MISTER HOLLOW(GER), 3 hř","60,0",ž. Leon Wolff,3/4,,3,,
,,,,4.,"SADALBARI(IRE), 3 val","55,0",ž. Sibylle Vogt,6,,4,Nieslanik Miroslav,
,,,,5.,"SERIENMOND(GER), 3","60,5",Schuichi Terachi,3/4,,2,,
,2022,Výsledky ze dne 28.12.2022 - Cagnes-sur-mer (Francie),"2769 PRIX DU PAYS DE LOIRE
Proutky - - 4000 m, cena, 4letí
18.000 EUR (8280 - 4140 - 2340 - 1620 - 810 - 540 - 270)
Zápisné: 0 + 0 EUR",6.,"DORTMUNDER(GER), 3","53,0",Thore Hammer-Hansen,daleko,,6,,
,,,,1.,"FORET VIERGE(FR), 4 kl","65,0",Nathan Howie,BOJ,,8,,
,,,,2.,"ICONE LOINTAINE(FR), 4 kl","63,0",Alexandre Chesneau,krk,,13,,
,,,,3.,"WOPART(GB), 4 val","68,0",ž. Josef Bartoš,3/4,,12,Váňa ml. Josef,
,,,,4.,"IVAN WILL(FR), 4 val A 1/2","64,0",Gauvain Faivre-Picon,1/2,,5,,
,,,,5.,"MAGIC DAVIER(FR), 4 val","68,0",Lucas Zuliani,2 1/2,,10,,
,,,,6.,"GIULINA(FR), 4 kl","65,0",Corentin Smeulders,5,,14,,
,,,"2770 PRIX DE LA PICARDIE
Proutky L - 4000 m, handicap, 4letí a starší
95.000 EUR (42750 - 20900 - 12350 - 8550 - 4750 - 3325 - 2375)
Zápisné: 0 + 0 EUR",7.,"INEFFABLE(FR), 4 kl A 1/2","64,0",Damien Thomas,1 1/2,,7,,
,,,,1.,"MONTY SAGA(FR), 6 val","67,5",Johnny Charron,TUHÝ BOJ,,7,,
,,,,2.,"ROCK AND ROLL(FR), 4 val","63,5",Clement Lefebvre,nos,,16,,
,,,,3.,"CIRANO DE PAIL(FR), 9 val","66,5",Jean-Baptiste Breton,hlava,,10,,
,,,,4.,"HALO ON FIRE(FR), 5 val","68,0",Dylan Ubeda,1 1/2,,5,,
,,,,5.,"STERNKRANZ(GER), 8 val","68,5",ž. Josef Bartoš,4 1/2,,4,Váňa ml. Josef,
